Order2018	POAexemptCode	Description
78899	T62.2X4S	"Toxic effect of other ingested (parts of) plant(s), undetermined, sequela"
78904	T62.8X1D	"Toxic effect of other specified noxious substances eaten as food, accidental (unintentional), subsequent encounter"
78905	T62.8X1S	"Toxic effect of other specified noxious substances eaten as food, accidental (unintentional), sequela"
78908	T62.8X2D	"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, subsequent encounter"
78909	T62.8X2S	"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, sequela"
78912	T62.8X3D	"Toxic effect of other specified noxious substances eaten as food, assault, subsequent encounter"
78913	T62.8X3S	"Toxic effect of other specified noxious substances eaten as food, assault, sequela"
78916	T62.8X4D	"Toxic effect of other specified noxious substances eaten as food, undetermined, subsequent encounter"
78917	T62.8X4S	"Toxic effect of other specified noxious substances eaten as food, undetermined, sequela"
78921	T62.91XD	"Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional), subsequent encounter"
78922	T62.91XS	"Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional), sequela"
78925	T62.92XD	"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, subsequent encounter"
78926	T62.92XS	"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, sequela"
78929	T62.93XD	"Toxic effect of unspecified noxious substance eaten as food, assault, subsequent encounter"
78930	T62.93XS	"Toxic effect of unspecified noxious substance eaten as food, assault, sequela"
78933	T62.94XD	"Toxic effect of unspecified noxious substance eaten as food, undetermined, subsequent encounter"
78934	T62.94XS	"Toxic effect of unspecified noxious substance eaten as food, undetermined, sequela"
78940	T63.001D	"Toxic effect of unspecified snake venom, accidental (unintentional), subsequent encounter"
78941	T63.001S	"Toxic effect of unspecified snake venom, accidental (unintentional), sequela"
78944	T63.002D	"Toxic effect of unspecified snake venom, intentional self-harm, subsequent encounter"
78945	T63.002S	"Toxic effect of unspecified snake venom, intentional self-harm, sequela"
78948	T63.003D	"Toxic effect of unspecified snake venom, assault, subsequent encounter"
78949	T63.003S	"Toxic effect of unspecified snake venom, assault, sequela"
78952	T63.004D	"Toxic effect of unspecified snake venom, undetermined, subsequent encounter"
78953	T63.004S	"Toxic effect of unspecified snake venom, undetermined, sequela"
78957	T63.011D	"Toxic effect of rattlesnake venom, accidental (unintentional), subsequent encounter"
78958	T63.011S	"Toxic effect of rattlesnake venom, accidental (unintentional), sequela"
78961	T63.012D	"Toxic effect of rattlesnake venom, intentional self-harm, subsequent encounter"
78962	T63.012S	"Toxic effect of rattlesnake venom, intentional self-harm, sequela"
78965	T63.013D	"Toxic effect of rattlesnake venom, assault, subsequent encounter"
78966	T63.013S	"Toxic effect of rattlesnake venom, assault, sequela"
78969	T63.014D	"Toxic effect of rattlesnake venom, undetermined, subsequent encounter"
78970	T63.014S	"Toxic effect of rattlesnake venom, undetermined, sequela"
78974	T63.021D	"Toxic effect of coral snake venom, accidental (unintentional), subsequent encounter"
78975	T63.021S	"Toxic effect of coral snake venom, accidental (unintentional), sequela"
78978	T63.022D	"Toxic effect of coral snake venom, intentional self-harm, subsequent encounter"
78979	T63.022S	"Toxic effect of coral snake venom, intentional self-harm, sequela"
78982	T63.023D	"Toxic effect of coral snake venom, assault, subsequent encounter"
78983	T63.023S	"Toxic effect of coral snake venom, assault, sequela"
78986	T63.024D	"Toxic effect of coral snake venom, undetermined, subsequent encounter"
78987	T63.024S	"Toxic effect of coral snake venom, undetermined, sequela"
78991	T63.031D	"Toxic effect of taipan venom, accidental (unintentional), subsequent encounter"
78992	T63.031S	"Toxic effect of taipan venom, accidental (unintentional), sequela"
78995	T63.032D	"Toxic effect of taipan venom, intentional self-harm, subsequent encounter"
78996	T63.032S	"Toxic effect of taipan venom, intentional self-harm, sequela"
78999	T63.033D	"Toxic effect of taipan venom, assault, subsequent encounter"
79000	T63.033S	"Toxic effect of taipan venom, assault, sequela"
79003	T63.034D	"Toxic effect of taipan venom, undetermined, subsequent encounter"
79004	T63.034S	"Toxic effect of taipan venom, undetermined, sequela"
79008	T63.041D	"Toxic effect of cobra venom, accidental (unintentional), subsequent encounter"
79009	T63.041S	"Toxic effect of cobra venom, accidental (unintentional), sequela"
79012	T63.042D	"Toxic effect of cobra venom, intentional self-harm, subsequent encounter"
79013	T63.042S	"Toxic effect of cobra venom, intentional self-harm, sequela"
79016	T63.043D	"Toxic effect of cobra venom, assault, subsequent encounter"
79017	T63.043S	"Toxic effect of cobra venom, assault, sequela"
79020	T63.044D	"Toxic effect of cobra venom, undetermined, subsequent encounter"
79021	T63.044S	"Toxic effect of cobra venom, undetermined, sequela"
79025	T63.061D	"Toxic effect of venom of other North and South American snake, accidental (unintentional), subsequent encounter"
79026	T63.061S	"Toxic effect of venom of other North and South American snake, accidental (unintentional), sequela"
79029	T63.062D	"Toxic effect of venom of other North and South American snake, intentional self-harm, subsequent encounter"
79030	T63.062S	"Toxic effect of venom of other North and South American snake, intentional self-harm, sequela"
79033	T63.063D	"Toxic effect of venom of other North and South American snake, assault, subsequent encounter"
79034	T63.063S	"Toxic effect of venom of other North and South American snake, assault, sequela"
79037	T63.064D	"Toxic effect of venom of other North and South American snake, undetermined, subsequent encounter"
79038	T63.064S	"Toxic effect of venom of other North and South American snake, undetermined, sequela"
79042	T63.071D	"Toxic effect of venom of other Australian snake, accidental (unintentional), subsequent encounter"
79043	T63.071S	"Toxic effect of venom of other Australian snake, accidental (unintentional), sequela"
79046	T63.072D	"Toxic effect of venom of other Australian snake, intentional self-harm, subsequent encounter"
79047	T63.072S	"Toxic effect of venom of other Australian snake, intentional self-harm, sequela"
79050	T63.073D	"Toxic effect of venom of other Australian snake, assault, subsequent encounter"
79051	T63.073S	"Toxic effect of venom of other Australian snake, assault, sequela"
79054	T63.074D	"Toxic effect of venom of other Australian snake, undetermined, subsequent encounter"
79055	T63.074S	"Toxic effect of venom of other Australian snake, undetermined, sequela"
79059	T63.081D	"Toxic effect of venom of other African and Asian snake, accidental (unintentional), subsequent encounter"
79060	T63.081S	"Toxic effect of venom of other African and Asian snake, accidental (unintentional), sequela"
79063	T63.082D	"Toxic effect of venom of other African and Asian snake, intentional self-harm, subsequent encounter"
79064	T63.082S	"Toxic effect of venom of other African and Asian snake, intentional self-harm, sequela"
79067	T63.083D	"Toxic effect of venom of other African and Asian snake, assault, subsequent encounter"
79068	T63.083S	"Toxic effect of venom of other African and Asian snake, assault, sequela"
79071	T63.084D	"Toxic effect of venom of other African and Asian snake, undetermined, subsequent encounter"
79072	T63.084S	"Toxic effect of venom of other African and Asian snake, undetermined, sequela"
79076	T63.091D	"Toxic effect of venom of other snake, accidental (unintentional), subsequent encounter"
79077	T63.091S	"Toxic effect of venom of other snake, accidental (unintentional), sequela"
79080	T63.092D	"Toxic effect of venom of other snake, intentional self-harm, subsequent encounter"
79081	T63.092S	"Toxic effect of venom of other snake, intentional self-harm, sequela"
79084	T63.093D	"Toxic effect of venom of other snake, assault, subsequent encounter"
79085	T63.093S	"Toxic effect of venom of other snake, assault, sequela"
79088	T63.094D	"Toxic effect of venom of other snake, undetermined, subsequent encounter"
79089	T63.094S	"Toxic effect of venom of other snake, undetermined, sequela"
79094	T63.111D	"Toxic effect of venom of gila monster, accidental (unintentional), subsequent encounter"
79095	T63.111S	"Toxic effect of venom of gila monster, accidental (unintentional), sequela"
79098	T63.112D	"Toxic effect of venom of gila monster, intentional self-harm, subsequent encounter"
79099	T63.112S	"Toxic effect of venom of gila monster, intentional self-harm, sequela"
79102	T63.113D	"Toxic effect of venom of gila monster, assault, subsequent encounter"
79103	T63.113S	"Toxic effect of venom of gila monster, assault, sequela"
79106	T63.114D	"Toxic effect of venom of gila monster, undetermined, subsequent encounter"
79107	T63.114S	"Toxic effect of venom of gila monster, undetermined, sequela"
79111	T63.121D	"Toxic effect of venom of other venomous lizard, accidental (unintentional), subsequent encounter"
79112	T63.121S	"Toxic effect of venom of other venomous lizard, accidental (unintentional), sequela"
79115	T63.122D	"Toxic effect of venom of other venomous lizard, intentional self-harm, subsequent encounter"
79116	T63.122S	"Toxic effect of venom of other venomous lizard, intentional self-harm, sequela"
79119	T63.123D	"Toxic effect of venom of other venomous lizard, assault, subsequent encounter"
79120	T63.123S	"Toxic effect of venom of other venomous lizard, assault, sequela"
79123	T63.124D	"Toxic effect of venom of other venomous lizard, undetermined, subsequent encounter"
79124	T63.124S	"Toxic effect of venom of other venomous lizard, undetermined, sequela"
79128	T63.191D	"Toxic effect of venom of other reptiles, accidental (unintentional), subsequent encounter"
79129	T63.191S	"Toxic effect of venom of other reptiles, accidental (unintentional), sequela"
79132	T63.192D	"Toxic effect of venom of other reptiles, intentional self-harm, subsequent encounter"
79133	T63.192S	"Toxic effect of venom of other reptiles, intentional self-harm, sequela"
79136	T63.193D	"Toxic effect of venom of other reptiles, assault, subsequent encounter"
79137	T63.193S	"Toxic effect of venom of other reptiles, assault, sequela"
79140	T63.194D	"Toxic effect of venom of other reptiles, undetermined, subsequent encounter"
79141	T63.194S	"Toxic effect of venom of other reptiles, undetermined, sequela"
79146	T63.2X1D	"Toxic effect of venom of scorpion, accidental (unintentional), subsequent encounter"
79147	T63.2X1S	"Toxic effect of venom of scorpion, accidental (unintentional), sequela"
79150	T63.2X2D	"Toxic effect of venom of scorpion, intentional self-harm, subsequent encounter"
79151	T63.2X2S	"Toxic effect of venom of scorpion, intentional self-harm, sequela"
79154	T63.2X3D	"Toxic effect of venom of scorpion, assault, subsequent encounter"
79155	T63.2X3S	"Toxic effect of venom of scorpion, assault, sequela"
79158	T63.2X4D	"Toxic effect of venom of scorpion, undetermined, subsequent encounter"
79159	T63.2X4S	"Toxic effect of venom of scorpion, undetermined, sequela"
79164	T63.301D	"Toxic effect of unspecified spider venom, accidental (unintentional), subsequent encounter"
79165	T63.301S	"Toxic effect of unspecified spider venom, accidental (unintentional), sequela"
79168	T63.302D	"Toxic effect of unspecified spider venom, intentional self-harm, subsequent encounter"
79169	T63.302S	"Toxic effect of unspecified spider venom, intentional self-harm, sequela"
79172	T63.303D	"Toxic effect of unspecified spider venom, assault, subsequent encounter"
79173	T63.303S	"Toxic effect of unspecified spider venom, assault, sequela"
79176	T63.304D	"Toxic effect of unspecified spider venom, undetermined, subsequent encounter"
79177	T63.304S	"Toxic effect of unspecified spider venom, undetermined, sequela"
79181	T63.311D	"Toxic effect of venom of black widow spider, accidental (unintentional), subsequent encounter"
79182	T63.311S	"Toxic effect of venom of black widow spider, accidental (unintentional), sequela"
79185	T63.312D	"Toxic effect of venom of black widow spider, intentional self-harm, subsequent encounter"
79186	T63.312S	"Toxic effect of venom of black widow spider, intentional self-harm, sequela"
79189	T63.313D	"Toxic effect of venom of black widow spider, assault, subsequent encounter"
79190	T63.313S	"Toxic effect of venom of black widow spider, assault, sequela"
79193	T63.314D	"Toxic effect of venom of black widow spider, undetermined, subsequent encounter"
79194	T63.314S	"Toxic effect of venom of black widow spider, undetermined, sequela"
79198	T63.321D	"Toxic effect of venom of tarantula, accidental (unintentional), subsequent encounter"
79199	T63.321S	"Toxic effect of venom of tarantula, accidental (unintentional), sequela"
79202	T63.322D	"Toxic effect of venom of tarantula, intentional self-harm, subsequent encounter"
79203	T63.322S	"Toxic effect of venom of tarantula, intentional self-harm, sequela"
79206	T63.323D	"Toxic effect of venom of tarantula, assault, subsequent encounter"
79207	T63.323S	"Toxic effect of venom of tarantula, assault, sequela"
79210	T63.324D	"Toxic effect of venom of tarantula, undetermined, subsequent encounter"
79211	T63.324S	"Toxic effect of venom of tarantula, undetermined, sequela"
79215	T63.331D	"Toxic effect of venom of brown recluse spider, accidental (unintentional), subsequent encounter"
79216	T63.331S	"Toxic effect of venom of brown recluse spider, accidental (unintentional), sequela"
79219	T63.332D	"Toxic effect of venom of brown recluse spider, intentional self-harm, subsequent encounter"
79220	T63.332S	"Toxic effect of venom of brown recluse spider, intentional self-harm, sequela"
79223	T63.333D	"Toxic effect of venom of brown recluse spider, assault, subsequent encounter"
79224	T63.333S	"Toxic effect of venom of brown recluse spider, assault, sequela"
79227	T63.334D	"Toxic effect of venom of brown recluse spider, undetermined, subsequent encounter"
79228	T63.334S	"Toxic effect of venom of brown recluse spider, undetermined, sequela"
79232	T63.391D	"Toxic effect of venom of other spider, accidental (unintentional), subsequent encounter"
79233	T63.391S	"Toxic effect of venom of other spider, accidental (unintentional), sequela"
79236	T63.392D	"Toxic effect of venom of other spider, intentional self-harm, subsequent encounter"
79237	T63.392S	"Toxic effect of venom of other spider, intentional self-harm, sequela"
79240	T63.393D	"Toxic effect of venom of other spider, assault, subsequent encounter"
79241	T63.393S	"Toxic effect of venom of other spider, assault, sequela"
79244	T63.394D	"Toxic effect of venom of other spider, undetermined, subsequent encounter"
79245	T63.394S	"Toxic effect of venom of other spider, undetermined, sequela"
79250	T63.411D	"Toxic effect of venom of centipedes and venomous millipedes, accidental (unintentional), subsequent encounter"
79251	T63.411S	"Toxic effect of venom of centipedes and venomous millipedes, accidental (unintentional), sequela"
79254	T63.412D	"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, subsequent encounter"
79255	T63.412S	"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, sequela"
79258	T63.413D	"Toxic effect of venom of centipedes and venomous millipedes, assault, subsequent encounter"
79259	T63.413S	"Toxic effect of venom of centipedes and venomous millipedes, assault, sequela"
79262	T63.414D	"Toxic effect of venom of centipedes and venomous millipedes, undetermined, subsequent encounter"
79263	T63.414S	"Toxic effect of venom of centipedes and venomous millipedes, undetermined, sequela"
79267	T63.421D	"Toxic effect of venom of ants, accidental (unintentional), subsequent encounter"
79268	T63.421S	"Toxic effect of venom of ants, accidental (unintentional), sequela"
79271	T63.422D	"Toxic effect of venom of ants, intentional self-harm, subsequent encounter"
79272	T63.422S	"Toxic effect of venom of ants, intentional self-harm, sequela"
79275	T63.423D	"Toxic effect of venom of ants, assault, subsequent encounter"
79276	T63.423S	"Toxic effect of venom of ants, assault, sequela"
79279	T63.424D	"Toxic effect of venom of ants, undetermined, subsequent encounter"
79280	T63.424S	"Toxic effect of venom of ants, undetermined, sequela"
79284	T63.431D	"Toxic effect of venom of caterpillars, accidental (unintentional), subsequent encounter"
79285	T63.431S	"Toxic effect of venom of caterpillars, accidental (unintentional), sequela"
79288	T63.432D	"Toxic effect of venom of caterpillars, intentional self-harm, subsequent encounter"
79289	T63.432S	"Toxic effect of venom of caterpillars, intentional self-harm, sequela"
79292	T63.433D	"Toxic effect of venom of caterpillars, assault, subsequent encounter"
79293	T63.433S	"Toxic effect of venom of caterpillars, assault, sequela"
79296	T63.434D	"Toxic effect of venom of caterpillars, undetermined, subsequent encounter"
79297	T63.434S	"Toxic effect of venom of caterpillars, undetermined, sequela"
79301	T63.441D	"Toxic effect of venom of bees, accidental (unintentional), subsequent encounter"
79302	T63.441S	"Toxic effect of venom of bees, accidental (unintentional), sequela"
79305	T63.442D	"Toxic effect of venom of bees, intentional self-harm, subsequent encounter"
79306	T63.442S	"Toxic effect of venom of bees, intentional self-harm, sequela"
79309	T63.443D	"Toxic effect of venom of bees, assault, subsequent encounter"
79310	T63.443S	"Toxic effect of venom of bees, assault, sequela"
79313	T63.444D	"Toxic effect of venom of bees, undetermined, subsequent encounter"
79314	T63.444S	"Toxic effect of venom of bees, undetermined, sequela"
79318	T63.451D	"Toxic effect of venom of hornets, accidental (unintentional), subsequent encounter"
79319	T63.451S	"Toxic effect of venom of hornets, accidental (unintentional), sequela"
79322	T63.452D	"Toxic effect of venom of hornets, intentional self-harm, subsequent encounter"
79323	T63.452S	"Toxic effect of venom of hornets, intentional self-harm, sequela"
79326	T63.453D	"Toxic effect of venom of hornets, assault, subsequent encounter"
79327	T63.453S	"Toxic effect of venom of hornets, assault, sequela"
79330	T63.454D	"Toxic effect of venom of hornets, undetermined, subsequent encounter"
79331	T63.454S	"Toxic effect of venom of hornets, undetermined, sequela"
79335	T63.461D	"Toxic effect of venom of wasps, accidental (unintentional), subsequent encounter"
79336	T63.461S	"Toxic effect of venom of wasps, accidental (unintentional), sequela"
79339	T63.462D	"Toxic effect of venom of wasps, intentional self-harm, subsequent encounter"
79340	T63.462S	"Toxic effect of venom of wasps, intentional self-harm, sequela"
79343	T63.463D	"Toxic effect of venom of wasps, assault, subsequent encounter"
79344	T63.463S	"Toxic effect of venom of wasps, assault, sequela"
79347	T63.464D	"Toxic effect of venom of wasps, undetermined, subsequent encounter"
79348	T63.464S	"Toxic effect of venom of wasps, undetermined, sequela"
79352	T63.481D	"Toxic effect of venom of other arthropod, accidental (unintentional), subsequent encounter"
79353	T63.481S	"Toxic effect of venom of other arthropod, accidental (unintentional), sequela"
79356	T63.482D	"Toxic effect of venom of other arthropod, intentional self-harm, subsequent encounter"
79357	T63.482S	"Toxic effect of venom of other arthropod, intentional self-harm, sequela"
79360	T63.483D	"Toxic effect of venom of other arthropod, assault, subsequent encounter"
79361	T63.483S	"Toxic effect of venom of other arthropod, assault, sequela"
79364	T63.484D	"Toxic effect of venom of other arthropod, undetermined, subsequent encounter"
79365	T63.484S	"Toxic effect of venom of other arthropod, undetermined, sequela"
79370	T63.511D	"Toxic effect of contact with stingray, accidental (unintentional), subsequent encounter"
79371	T63.511S	"Toxic effect of contact with stingray, accidental (unintentional), sequela"
79374	T63.512D	"Toxic effect of contact with stingray, intentional self-harm, subsequent encounter"
79375	T63.512S	"Toxic effect of contact with stingray, intentional self-harm, sequela"
79378	T63.513D	"Toxic effect of contact with stingray, assault, subsequent encounter"
79379	T63.513S	"Toxic effect of contact with stingray, assault, sequela"
79382	T63.514D	"Toxic effect of contact with stingray, undetermined, subsequent encounter"
79383	T63.514S	"Toxic effect of contact with stingray, undetermined, sequela"
79387	T63.591D	"Toxic effect of contact with other venomous fish, accidental (unintentional), subsequent encounter"
79388	T63.591S	"Toxic effect of contact with other venomous fish, accidental (unintentional), sequela"
79391	T63.592D	"Toxic effect of contact with other venomous fish, intentional self-harm, subsequent encounter"
79392	T63.592S	"Toxic effect of contact with other venomous fish, intentional self-harm, sequela"
79395	T63.593D	"Toxic effect of contact with other venomous fish, assault, subsequent encounter"
79396	T63.593S	"Toxic effect of contact with other venomous fish, assault, sequela"
79399	T63.594D	"Toxic effect of contact with other venomous fish, undetermined, subsequent encounter"
79400	T63.594S	"Toxic effect of contact with other venomous fish, undetermined, sequela"
79405	T63.611D	"Toxic effect of contact with Portugese Man-o-war, accidental (unintentional), subsequent encounter"
79406	T63.611S	"Toxic effect of contact with Portugese Man-o-war, accidental (unintentional), sequela"
79409	T63.612D	"Toxic effect of contact with Portugese Man-o-war, intentional self-harm, subsequent encounter"
79410	T63.612S	"Toxic effect of contact with Portugese Man-o-war, intentional self-harm, sequela"
79413	T63.613D	"Toxic effect of contact with Portugese Man-o-war, assault, subsequent encounter"
79414	T63.613S	"Toxic effect of contact with Portugese Man-o-war, assault, sequela"
79417	T63.614D	"Toxic effect of contact with Portugese Man-o-war, undetermined, subsequent encounter"
79418	T63.614S	"Toxic effect of contact with Portugese Man-o-war, undetermined, sequela"
79422	T63.621D	"Toxic effect of contact with other jellyfish, accidental (unintentional), subsequent encounter"
79423	T63.621S	"Toxic effect of contact with other jellyfish, accidental (unintentional), sequela"
79426	T63.622D	"Toxic effect of contact with other jellyfish, intentional self-harm, subsequent encounter"
79427	T63.622S	"Toxic effect of contact with other jellyfish, intentional self-harm, sequela"
79430	T63.623D	"Toxic effect of contact with other jellyfish, assault, subsequent encounter"
79431	T63.623S	"Toxic effect of contact with other jellyfish, assault, sequela"
79434	T63.624D	"Toxic effect of contact with other jellyfish, undetermined, subsequent encounter"
79435	T63.624S	"Toxic effect of contact with other jellyfish, undetermined, sequela"
79439	T63.631D	"Toxic effect of contact with sea anemone, accidental (unintentional), subsequent encounter"
79440	T63.631S	"Toxic effect of contact with sea anemone, accidental (unintentional), sequela"
79443	T63.632D	"Toxic effect of contact with sea anemone, intentional self-harm, subsequent encounter"
79444	T63.632S	"Toxic effect of contact with sea anemone, intentional self-harm, sequela"
79447	T63.633D	"Toxic effect of contact with sea anemone, assault, subsequent encounter"
79448	T63.633S	"Toxic effect of contact with sea anemone, assault, sequela"
79451	T63.634D	"Toxic effect of contact with sea anemone, undetermined, subsequent encounter"
79452	T63.634S	"Toxic effect of contact with sea anemone, undetermined, sequela"
79456	T63.691D	"Toxic effect of contact with other venomous marine animals, accidental (unintentional), subsequent encounter"
79457	T63.691S	"Toxic effect of contact with other venomous marine animals, accidental (unintentional), sequela"
79460	T63.692D	"Toxic effect of contact with other venomous marine animals, intentional self-harm, subsequent encounter"
79461	T63.692S	"Toxic effect of contact with other venomous marine animals, intentional self-harm, sequela"
79464	T63.693D	"Toxic effect of contact with other venomous marine animals, assault, subsequent encounter"
79465	T63.693S	"Toxic effect of contact with other venomous marine animals, assault, sequela"
79468	T63.694D	"Toxic effect of contact with other venomous marine animals, undetermined, subsequent encounter"
79469	T63.694S	"Toxic effect of contact with other venomous marine animals, undetermined, sequela"
79474	T63.711D	"Toxic effect of contact with venomous marine plant, accidental (unintentional), subsequent encounter"
79475	T63.711S	"Toxic effect of contact with venomous marine plant, accidental (unintentional), sequela"
79478	T63.712D	"Toxic effect of contact with venomous marine plant, intentional self-harm, subsequent encounter"
79479	T63.712S	"Toxic effect of contact with venomous marine plant, intentional self-harm, sequela"
79482	T63.713D	"Toxic effect of contact with venomous marine plant, assault, subsequent encounter"
79483	T63.713S	"Toxic effect of contact with venomous marine plant, assault, sequela"
79486	T63.714D	"Toxic effect of contact with venomous marine plant, undetermined, subsequent encounter"
79487	T63.714S	"Toxic effect of contact with venomous marine plant, undetermined, sequela"
79491	T63.791D	"Toxic effect of contact with other venomous plant, accidental (unintentional), subsequent encounter"
79492	T63.791S	"Toxic effect of contact with other venomous plant, accidental (unintentional), sequela"
79495	T63.792D	"Toxic effect of contact with other venomous plant, intentional self-harm, subsequent encounter"
79496	T63.792S	"Toxic effect of contact with other venomous plant, intentional self-harm, sequela"
79499	T63.793D	"Toxic effect of contact with other venomous plant, assault, subsequent encounter"
79500	T63.793S	"Toxic effect of contact with other venomous plant, assault, sequela"
79503	T63.794D	"Toxic effect of contact with other venomous plant, undetermined, subsequent encounter"
79504	T63.794S	"Toxic effect of contact with other venomous plant, undetermined, sequela"
79509	T63.811D	"Toxic effect of contact with venomous frog, accidental (unintentional), subsequent encounter"
79510	T63.811S	"Toxic effect of contact with venomous frog, accidental (unintentional), sequela"
79513	T63.812D	"Toxic effect of contact with venomous frog, intentional self-harm, subsequent encounter"
79514	T63.812S	"Toxic effect of contact with venomous frog, intentional self-harm, sequela"
79517	T63.813D	"Toxic effect of contact with venomous frog, assault, subsequent encounter"
79518	T63.813S	"Toxic effect of contact with venomous frog, assault, sequela"
79521	T63.814D	"Toxic effect of contact with venomous frog, undetermined, subsequent encounter"
79522	T63.814S	"Toxic effect of contact with venomous frog, undetermined, sequela"
79526	T63.821D	"Toxic effect of contact with venomous toad, accidental (unintentional), subsequent encounter"
79527	T63.821S	"Toxic effect of contact with venomous toad, accidental (unintentional), sequela"
79530	T63.822D	"Toxic effect of contact with venomous toad, intentional self-harm, subsequent encounter"
79531	T63.822S	"Toxic effect of contact with venomous toad, intentional self-harm, sequela"
79534	T63.823D	"Toxic effect of contact with venomous toad, assault, subsequent encounter"
79535	T63.823S	"Toxic effect of contact with venomous toad, assault, sequela"
79538	T63.824D	"Toxic effect of contact with venomous toad, undetermined, subsequent encounter"
79539	T63.824S	"Toxic effect of contact with venomous toad, undetermined, sequela"
79543	T63.831D	"Toxic effect of contact with other venomous amphibian, accidental (unintentional), subsequent encounter"
79544	T63.831S	"Toxic effect of contact with other venomous amphibian, accidental (unintentional), sequela"
79547	T63.832D	"Toxic effect of contact with other venomous amphibian, intentional self-harm, subsequent encounter"
79548	T63.832S	"Toxic effect of contact with other venomous amphibian, intentional self-harm, sequela"
79551	T63.833D	"Toxic effect of contact with other venomous amphibian, assault, subsequent encounter"
79552	T63.833S	"Toxic effect of contact with other venomous amphibian, assault, sequela"
79555	T63.834D	"Toxic effect of contact with other venomous amphibian, undetermined, subsequent encounter"
79556	T63.834S	"Toxic effect of contact with other venomous amphibian, undetermined, sequela"
79560	T63.891D	"Toxic effect of contact with other venomous animals, accidental (unintentional), subsequent encounter"
79561	T63.891S	"Toxic effect of contact with other venomous animals, accidental (unintentional), sequela"
79564	T63.892D	"Toxic effect of contact with other venomous animals, intentional self-harm, subsequent encounter"
79565	T63.892S	"Toxic effect of contact with other venomous animals, intentional self-harm, sequela"
79568	T63.893D	"Toxic effect of contact with other venomous animals, assault, subsequent encounter"
79569	T63.893S	"Toxic effect of contact with other venomous animals, assault, sequela"
79572	T63.894D	"Toxic effect of contact with other venomous animals, undetermined, subsequent encounter"
79573	T63.894S	"Toxic effect of contact with other venomous animals, undetermined, sequela"
79577	T63.91XD	"Toxic effect of contact with unspecified venomous animal, accidental (unintentional), subsequent encounter"
79578	T63.91XS	"Toxic effect of contact with unspecified venomous animal, accidental (unintentional), sequela"
79581	T63.92XD	"Toxic effect of contact with unspecified venomous animal, intentional self-harm, subsequent encounter"
79582	T63.92XS	"Toxic effect of contact with unspecified venomous animal, intentional self-harm, sequela"
79585	T63.93XD	"Toxic effect of contact with unspecified venomous animal, assault, subsequent encounter"
79586	T63.93XS	"Toxic effect of contact with unspecified venomous animal, assault, sequela"
79589	T63.94XD	"Toxic effect of contact with unspecified venomous animal, undetermined, subsequent encounter"
79590	T63.94XS	"Toxic effect of contact with unspecified venomous animal, undetermined, sequela"
79595	T64.01XD	"Toxic effect of aflatoxin, accidental (unintentional), subsequent encounter"
79596	T64.01XS	"Toxic effect of aflatoxin, accidental (unintentional), sequela"
79599	T64.02XD	"Toxic effect of aflatoxin, intentional self-harm, subsequent encounter"
79600	T64.02XS	"Toxic effect of aflatoxin, intentional self-harm, sequela"
79603	T64.03XD	"Toxic effect of aflatoxin, assault, subsequent encounter"
79604	T64.03XS	"Toxic effect of aflatoxin, assault, sequela"
79607	T64.04XD	"Toxic effect of aflatoxin, undetermined, subsequent encounter"
79608	T64.04XS	"Toxic effect of aflatoxin, undetermined, sequela"
79612	T64.81XD	"Toxic effect of other mycotoxin food contaminants, accidental (unintentional), subsequent encounter"
79613	T64.81XS	"Toxic effect of other mycotoxin food contaminants, accidental (unintentional), sequela"
79616	T64.82XD	"Toxic effect of other mycotoxin food contaminants, intentional self-harm, subsequent encounter"
79617	T64.82XS	"Toxic effect of other mycotoxin food contaminants, intentional self-harm, sequela"
79620	T64.83XD	"Toxic effect of other mycotoxin food contaminants, assault, subsequent encounter"
79621	T64.83XS	"Toxic effect of other mycotoxin food contaminants, assault, sequela"
79624	T64.84XD	"Toxic effect of other mycotoxin food contaminants, undetermined, subsequent encounter"
79625	T64.84XS	"Toxic effect of other mycotoxin food contaminants, undetermined, sequela"
79631	T65.0X1D	"Toxic effect of cyanides, accidental (unintentional), subsequent encounter"
79632	T65.0X1S	"Toxic effect of cyanides, accidental (unintentional), sequela"
79635	T65.0X2D	"Toxic effect of cyanides, intentional self-harm, subsequent encounter"
79636	T65.0X2S	"Toxic effect of cyanides, intentional self-harm, sequela"
79639	T65.0X3D	"Toxic effect of cyanides, assault, subsequent encounter"
79640	T65.0X3S	"Toxic effect of cyanides, assault, sequela"
79643	T65.0X4D	"Toxic effect of cyanides, undetermined, subsequent encounter"
79644	T65.0X4S	"Toxic effect of cyanides, undetermined, sequela"
79649	T65.1X1D	"Toxic effect of strychnine and its salts, accidental (unintentional), subsequent encounter"
79650	T65.1X1S	"Toxic effect of strychnine and its salts, accidental (unintentional), sequela"
79653	T65.1X2D	"Toxic effect of strychnine and its salts, intentional self-harm, subsequent encounter"
79654	T65.1X2S	"Toxic effect of strychnine and its salts, intentional self-harm, sequela"
