Order2018	Action	Code	Description
66757	Revise to	S92.525S	"Nondisplaced fracture of middle phalanx of left lesser toe(s), sequela"
66761	Revise from	S92.526D	"Nondisplaced fracture of medial phalanx of unspecified lesser toe(s), subsequent encounter for fracture with routine healing"
66761	Revise to	S92.526D	"Nondisplaced fracture of middle phalanx of unspecified lesser toe(s), subsequent encounter for fracture with routine healing"
66762	Revise from	S92.526G	"Nondisplaced fracture of medial phalanx of unspecified lesser toe(s), subsequent encounter for fracture with delayed healing"
66762	Revise to	S92.526G	"Nondisplaced fracture of middle phalanx of unspecified lesser toe(s), subsequent encounter for fracture with delayed healing"
66763	Revise from	S92.526K	"Nondisplaced fracture of medial phalanx of unspecified lesser toe(s), subsequent encounter for fracture with nonunion"
66763	Revise to	S92.526K	"Nondisplaced fracture of middle phalanx of unspecified lesser toe(s), subsequent encounter for fracture with nonunion"
66764	Revise from	S92.526P	"Nondisplaced fracture of medial phalanx of unspecified lesser toe(s), subsequent encounter for fracture with malunion"
66764	Revise to	S92.526P	"Nondisplaced fracture of middle phalanx of unspecified lesser toe(s), subsequent encounter for fracture with malunion"
66765	Revise from	S92.526S	"Nondisplaced fracture of medial phalanx of unspecified lesser toe(s), sequela"
66765	Revise to	S92.526S	"Nondisplaced fracture of middle phalanx of unspecified lesser toe(s), sequela"
81352	Revise from	T82.857D	"Stenosis of other cardiac prosthetic, subsequent encounter"
81352	Revise to	T82.857D	"Stenosis of other cardiac prosthetic devices, implants and grafts, subsequent encounter"
81353	Revise from	T82.857S	"Stenosis of other cardiac prosthetic, sequela"
81353	Revise to	T82.857S	"Stenosis of other cardiac prosthetic devices, implants and grafts, sequela"
81356	Revise from	T82.858D	"Stenosis of other vascular prosthetic, subsequent encounter"
81356	Revise to	T82.858D	"Stenosis of other vascular prosthetic devices, implants and grafts, subsequent encounter"
81357	Revise from	T82.858S	"Stenosis of other vascular prosthetic, sequela"
81357	Revise to	T82.858S	"Stenosis of other vascular prosthetic devices, implants and grafts, sequela"
81697	Revise from	T83.79XD	"Other specified complications due to other prosthetic materials, subsequent encounter"
81697	Revise to	T83.79XD	"Other specified complications due to other genitourinary prosthetic materials, subsequent encounter"
81698	Revise from	T83.79XS	"Other specified complications due to other prosthetic materials, sequela"
